id,пол,город,relation
7174,пол мужской,Москва,данные извлечь невозможно
7201,пол женский,город не указан,данные извлечь невозможно
7202,пол мужской,город не указан,данные извлечь невозможно
7223,пол мужской,Санкт-Петербург,данные извлечь невозможно
7226,пол женский,город не указан,данные извлечь невозможно
7241,пол мужской,Санкт-Петербург,данные извлечь невозможно
7356,пол мужской,Москва,1
7361,пол мужской,Санкт-Петербург,данные извлечь невозможно
7396,пол женский,Санкт-Петербург,данные извлечь невозможно
7405,пол мужской,Санкт-Петербург,4
7452,пол мужской,Санкт-Петербург,данные извлечь невозможно
7468,пол женский,Санкт-Петербург,данные извлечь невозможно
7475,пол мужской,Санкт-Петербург,данные извлечь невозможно
7520,пол мужской,Сыктывкар,данные извлечь невозможно
7525,пол мужской,Москва,данные извлечь невозможно
7529,пол женский,Санкт-Петербург,данные извлечь невозможно
7542,пол мужской,Москва,данные извлечь невозможно
7554,пол женский,Санкт-Петербург,данные извлечь невозможно
7610,пол женский,Санкт-Петербург,данные извлечь невозможно
7624,пол мужской,Санкт-Петербург,данные извлечь невозможно
7629,пол мужской,город не указан,данные извлечь невозможно
7659,пол женский,город не указан,данные извлечь невозможно
7662,пол мужской,Санкт-Петербург,данные извлечь невозможно
7671,пол женский,Москва,данные извлечь невозможно
7692,пол мужской,Санкт-Петербург,данные извлечь невозможно
7701,пол мужской,Москва,данные извлечь невозможно
7770,пол женский,город не указан,данные извлечь невозможно
7794,пол мужской,Москва,данные извлечь невозможно
7833,пол мужской,Санкт-Петербург,данные извлечь невозможно
7855,пол мужской,Санкт-Петербург,данные извлечь невозможно
7924,пол женский,Москва,данные извлечь невозможно
7939,пол мужской,Санкт-Петербург,данные извлечь невозможно
7978,пол мужской,Санкт-Петербург,данные извлечь невозможно
7989,пол женский,Москва,данные извлечь невозможно
8019,пол мужской,Санкт-Петербург,данные извлечь невозможно
8038,пол мужской,Санкт-Петербург,данные извлечь невозможно
8058,пол мужской,Москва,данные извлечь невозможно
8070,пол мужской,Екатеринбург,данные извлечь невозможно
8074,пол мужской,Москва,1
8080,пол женский,Санкт-Петербург,данные извлечь невозможно
8130,пол женский,Санкт-Петербург,данные извлечь невозможно
8140,пол мужской,город не указан,данные извлечь невозможно
8149,пол мужской,Пенза,данные извлечь невозможно
8166,пол мужской,Санкт-Петербург,данные извлечь невозможно
8179,пол мужской,город не указан,данные извлечь невозможно
8186,пол мужской,Санкт-Петербург,данные извлечь невозможно
8201,пол мужской,Санкт-Петербург,данные извлечь невозможно
8217,пол женский,Санкт-Петербург,данные извлечь невозможно
8239,пол женский,Санкт-Петербург,данные извлечь невозможно
8244,пол мужской,Санкт-Петербург,данные извлечь невозможно
8273,пол мужской,Санкт-Петербург,данные извлечь невозможно
8294,пол мужской,Санкт-Петербург,данные извлечь невозможно
8297,пол мужской,Москва,данные извлечь невозможно
8298,пол мужской,Нижний Новгород,данные извлечь невозможно
